text,clusters,probabilities
europa enterprise pharmaceuticals eudralex homev eudralex volume medicinal products human veterinary annex manufacture biological medicinal products human annex manufacture products human blood human plasma business,4,"[1.3230489295280867e-13, 1.4741951149394028e-13, 2.0872842029003719e-13, 6.578901513192362e-14, 1.0, 1.745659941875281e-15, 9.46774210815399e-15, 1.64129940107699e-13]"
cdc gov niosh rubberhr niosh hazard review rubber products manufacturing workers exposed hazards inhalation skin absorption rubber processing product manufacturing physical hazards business,4,"[4.653686573874438e-07, 1.2000693914160365e-06, 0.00033512202207930386, 3.579886254101439e-08, 0.9996622800827026, 7.999805688996275e-07, 8.896394038115929e-11, 8.858850719661859e-08]"
hyperlinktech web oem products hyperlink technologies equipment manufacturer oem products hyperlink equipment manufacturers oem solutions design product adaptive intuitive innovative creative business,2,"[0.0011722020572051406, 2.1693212559625863e-08, 0.9974727034568787, 0.001260383171029389, 4.8221764359368535e-08, 1.202964057256395e-07, 9.4457900559064e-05, 7.822687564384978e-08]"
allproducts allproducts com manufacturers directory products database global marketplace manufacture directory exporters importers wholesalers volume buyers suppliers product directory business,2,"[2.4514413936305157e-12, 2.1308306508149855e-10, 0.9999995231628418, 4.597976897002809e-07, 6.699966970113991e-12, 4.2929333997137817e-14, 5.261921540850034e-13, 3.2733332103879187e-13]"
lonmark certifications members shtml lonmark certifications lonmark manufacture listed lonmark product catalog certified devices lonmark manufacturing products business,4,"[0.00018987439398188144, 2.988714913954027e-05, 0.032090481370687485, 0.10828699171543121, 0.8558979630470276, 7.326371473936888e-07, 0.0035033877938985825, 7.2213555313283e-07]"
partnerproducts autodesk catalog industry industry mfg autodesk partner products services manufacturing outsourcing mass customization global competitiveness reshaping industry design manufacture products business,2,"[9.171395309870434e-10, 6.85111274378869e-08, 0.9999995231628418, 4.5310108021112683e-07, 3.1143215784013023e-10, 2.360334421403626e-13, 1.814483008288903e-10, 1.2209963595744e-10]"
inventionhome inventor services manufacturing overview invention manufacturing inventors manufacture building developing invention product manufacturing partnerships china taiwan business,2,"[0.0003600029449444264, 3.758630919037387e-05, 0.9983160495758057, 7.1879426286614034e-06, 0.0007282329606823623, 4.2029139279975425e-08, 0.0005493623903021216, 1.6184050082301837e-06]"
marketresearch product display productid paper products manufacture paper products manufacture companies manufacture paper products annual product revenue billion business,2,"[2.0234744990688114e-09, 1.0276163253664095e-09, 1.0, 6.787755690851327e-09, 4.896175909152589e-09, 5.6187682978547926e-11, 9.77490310916096e-10, 4.386032823825575e-13]"
tga gov docs gmpcodau australian code manufacturing practice medicinal products australian code gmp medicinal products dated australian code gmp medicinal products dated business,4,"[1.1027350410586223e-07, 8.374381049724988e-11, 2.2710531766279018e-07, 4.530857026369128e-12, 0.9999996423721313, 4.140790835216457e-11, 5.959793769605426e-11, 3.1707745762332706e-08]"
firstresearch industry research paper products manufacture paper products manufacture industry paper products manufacture industry research specializing paper products manufacture industry research paper products manufacture market research paper products business,2,"[9.702846728032455e-05, 3.3076750696636736e-05, 0.9885966181755066, 7.380114402621984e-05, 0.0015743193216621876, 9.549619761628492e-09, 0.00962515827268362, 1.0054217014499045e-08]"
wikipedia wiki private sector sector wikipedia encyclopedia sector fundamental economy profit controlled enterprises business,2,"[5.8651083989502695e-09, 4.9887621571542695e-06, 0.9999940395355225, 8.353094358426461e-07, 8.878632828945854e-10, 3.065939724322675e-10, 6.002550634320869e-08, 2.4182053692811678e-08]"
fao private fao sector thriving sector well-functioning markets key factors economic growth sustainable development agriculture food fisheries business,2,"[7.0636178861605e-07, 5.893188714800601e-11, 0.9999991655349731, 1.5496941837417344e-12, 7.758425368820099e-08, 5.4859317089039905e-09, 4.0406380463764435e-09, 2.478066037960025e-13]"
ourpublicservice ops programs psc partnership public service sector council leadership awards dinner partnership public service sector council psc connects business,2,"[3.6917398915647937e-07, 9.240789244913117e-10, 0.9999996423721313, 9.303563128226777e-12, 1.75316722944574e-11, 1.46124168320938e-09, 9.149228683696942e-13, 1.9509008530827973e-14]"
adb privatesector default sector development finance adb org expanding sector activities adb fight poverty asia pacific region adb sector development business,2,"[3.494033364859206e-07, 2.5696192551549757e-06, 0.9999970197677612, 2.3253834968706144e-10, 4.894837957181153e-08, 4.700959760350898e-11, 1.7743680968962394e-09, 1.6114640885253086e-15]"
transparency global priorities private sector sector global priorities home transparency international goal sector company behaviour developing standards practice countering bribery business,2,"[5.775650606665295e-07, 0.0018610517727211118, 0.9981381893157959, 4.004351517039595e-09, 1.5795141905527998e-07, 1.5526378793762063e-10, 9.784620891295503e-10, 6.570502605537931e-13]"
ifc economics international finance corporation financial sector introduction financial sector development program organized business,2,"[1.5183583963697053e-14, 1.594065504595399e-11, 1.0, 1.8295843898057107e-13, 7.661798407906147e-16, 1.2031702369163285e-14, 2.121607360280886e-12, 2.0072637713813912e-17]"
ifc competition ifc-ft essay competition ifc-ft essay competition theme sector development markets insight sector development psd research business,2,"[2.43351241806522e-05, 3.768968235817738e-05, 0.9983616471290588, 7.626808518068628e-09, 3.6937013447868594e-09, 2.0685926926944376e-07, 0.0015760005917400122, 1.5378009976529938e-08]"
ornl gov sci techresources human genome project privatesector shtml hgp sector information hgp technologies catalyzed life sciences industry explanations partnerships government industry business,2,"[0.00030392580083571374, 0.02478674054145813, 0.9289053678512573, 0.001346785225905478, 0.03139780834317207, 2.751627789621125e-06, 0.013245291076600552, 1.139810228778515e-05]"
acdi cida cidaweb acdicida nsf jud qjj sector development poverty reduction efforts address sector developing countries sector comprised micro business,2,"[1.142191763392475e-06, 1.8156679004732723e-07, 0.999996542930603, 1.3216200578369808e-08, 1.5644968698325101e-06, 3.483522637015568e-10, 4.3199551669204084e-07, 5.481230703693885e-13]"
mpdf ifc mpdf mekong sector development facility vietnam access land issues sector government sector lao business forum business,2,"[2.3418560886057094e-06, 7.499333150917664e-05, 0.9999088048934937, 3.6648319934329265e-08, 1.378555316478014e-05, 2.2168080704432214e-08, 4.790700725010311e-09, 2.580217373093774e-09]"
itu int cgi bin htsh scripts list sec languageid sector business,2,"[7.269490787109589e-09, 1.699929271126166e-06, 0.9920424818992615, 0.007954995147883892, 1.7471561974957694e-08, 2.7127106116964228e-11, 8.487345439789351e-07, 1.0908410459642415e-11]"
weforum initiatives harnessing private sector harnessing sector capabilities public incentives sector apply competencies malaria reduction sector player sustaining business,2,"[4.7109744627960026e-05, 0.00013558429782278836, 0.9997760653495789, 3.0017308083607475e-11, 4.125519626541063e-05, 1.8001989232629967e-08, 3.1138782219386485e-08, 2.200911267200966e-14]"
iadb pri sector inter-american development bank interamerican development bank idb bid sector sector department pri infrastructure energy power transportation toll roads water business,2,"[8.787963423628753e-08, 3.4540043998276815e-05, 0.9998641014099121, 4.7637012556833724e-08, 9.737353684613481e-05, 3.2956859286059625e-07, 1.3143614978616824e-06, 2.123297008438385e-06]"
imf external exr facts privsec factsheet imf sector imf examining issues sector forestalling resolving financial crises business,2,"[6.590444301401988e-10, 5.641591997118667e-06, 0.9999943971633911, 2.024145434598168e-10, 2.0442922021857157e-08, 1.3272629523219948e-12, 2.517820327230247e-11, 2.1469008889456534e-14]"
adb privatesector finance default sector finance adb org adb unique sector projects development impact financial sector infrastructure sector business,2,"[2.5055763019921073e-10, 1.5722236845761017e-09, 1.0, 7.406818214317212e-12, 2.0591670729652733e-11, 8.403011359653378e-14, 5.934398805695906e-11, 5.6637837400004055e-16]"
dfid gov pubs files dfid private sector dfid sector sector risks principles dfid approaches sector development dfid collaborates sector representatives business,2,"[1.5167322953146822e-09, 2.692928262604255e-07, 0.9999997615814209, 4.1431630348753856e-10, 5.9804189378454e-10, 1.4530360421816102e-11, 1.9922083427381665e-10, 1.7455063112744727e-15]"
psdblog worldbank about psd blog world bank sector development blog psd blog gathers news resources christine bowers economist sector development business,2,"[3.1739848527223558e-09, 3.626326360972598e-05, 0.9999631643295288, 2.4171333823375107e-09, 6.046912517376768e-07, 6.128352492140721e-09, 5.000928116061232e-09, 5.967310673371529e-11]"
psdblog worldbank psdblog predicting predicting category psd blog world bank knowledge services sector development reading lists toolkits journals surveys business database business,2,"[2.4523969660572575e-11, 3.862779180963116e-07, 0.9999996423721313, 2.1867159194499663e-09, 7.85195630736979e-10, 8.36000602078002e-10, 2.6844892975219636e-09, 4.449135851403163e-11]"
artsusa private sector affairs arts and business council about default overview arts business council americans arts arts business council americans arts housed sector affairs department americans arts targets business business,2,"[3.892750555678504e-06, 2.911313572440122e-07, 0.9999958276748657, 4.175534484146537e-12, 6.144543207575737e-12, 7.568739385233059e-11, 1.9018430493650262e-12, 6.89816584929781e-14]"
rru worldbank discussions online discussions sector development world bank e-discussions topical sector development issues moderated experts business,2,"[1.3645109930848776e-08, 6.666078115813434e-05, 0.9998699426651001, 6.311725883278996e-05, 1.6564862814760772e-09, 1.4487798694062803e-07, 6.052201229067578e-08, 1.6903248578614694e-08]"
wikipedia wiki public relations public relations wikipedia encyclopedia public relations managing communication organization business maintain positive image business,2,"[2.1298671981639927e-07, 3.161141792773492e-09, 0.9999997615814209, 8.048086641565533e-10, 9.353762903119289e-11, 7.130487606615832e-12, 1.337995270134229e-10, 2.496806811324616e-14]"
bls gov oco ocos public relations specialists opportunities college graduates degree public relations journalism communications-related field business,2,"[0.0006783308344893157, 9.00006455140101e-07, 0.9993098974227905, 1.2743396382575156e-07, 2.3326915510324397e-08, 6.303009286057204e-06, 4.399118552100845e-06, 4.381018985089025e-12]"
prsa public relations society america prsa professional organization public relations specialists business consulting firms government associations schools business,2,"[6.839421473614493e-08, 0.00013834187120664865, 0.9998613595962524, 1.242470570872456e-09, 1.807473837267537e-09, 1.940345384365827e-10, 6.868587121289238e-08, 2.0591114804988792e-13]"
managementhelp pblc rel pblc rel public media relations learn public media relations impression advertising marketing promotion business,2,"[3.915735646842222e-07, 2.898077013924194e-07, 0.9999994039535522, 1.165449403650598e-10, 1.1579572370412627e-11, 1.2655604862688019e-11, 1.9071225154654314e-10, 9.114495182899196e-13]"
aboutpublicrelations public relations articles comprehensive collection how-to articles public relations features links business,2,"[1.740639750391626e-11, 1.3243214302960382e-09, 1.0, 3.563001282902434e-11, 1.1847445767487752e-11, 7.50877496031449e-13, 2.572981975049182e-13, 5.650212895756852e-15]"
princetonreview cte profiles dayinlife careerid public relations public relations specialist image shaper job generate positive publicity client enhance reputation business,2,"[0.0011822914239019156, 2.0160149460934917e-07, 0.9988173842430115, 3.181958169173882e-11, 6.875544023010605e-10, 1.9023567165987743e-09, 1.536118343636872e-09, 1.2075421127702868e-14]"
prnewswire newswire news distribution targeting monitoring news press release distribution services business marketing corporate public relations investor relations government organizational business,2,"[4.3611527722475785e-09, 0.000908339861780405, 0.9990915060043335, 7.114073241609731e-08, 9.017318092219284e-08, 4.252307395091748e-10, 1.4192062781047399e-13, 6.035098094013536e-13]"
edelman edelman service global public relations firm company profile management team practice industries served histories client listings business,2,"[1.3648440155833441e-09, 2.218808070608702e-08, 1.0, 6.600039265114432e-11, 1.4574282058976706e-10, 5.753017420090378e-13, 3.818148575085445e-11, 1.814470469907942e-17]"
odwyerpr dwyer public relations news odwyerpr com features breaking news public relations industry database firms listing service firms client search tool job postings business,2,"[6.396810192654812e-08, 0.0014702468179166317, 0.998508632183075, 2.0790062990272418e-05, 3.272116444463791e-08, 1.745312658840703e-07, 5.5455227215839287e-11, 1.1267225374922418e-08]"
misukanisodden misukanis odden public relations firm agency minneapolis tech public relations marketing agency specializes technology public relations lead sales generation programs brand development business,2,"[1.71051433426328e-05, 2.2659745809505694e-05, 0.999674916267395, 0.00022686959709972143, 1.0444742656545714e-05, 1.9777171189616638e-07, 4.779706068802625e-05, 2.516869379576292e-09]"
ketchum welcome ketchum com ketchum public relations marketing agency specializes corporate product positioning practice expertise covers consumer marketing business,2,"[6.720759365697049e-11, 1.3200913973054895e-10, 1.0, 1.08348399696645e-10, 3.7720201961910504e-10, 8.355289523405071e-14, 3.007679012529546e-13, 3.0020880529765814e-15]"
prwatch center media democracy publishers watch wiki-based investigative journalism collaborative focused public relations industry whistle-blowing manipulative misleading practices business,2,"[4.037301096104784e-06, 0.07514312118291855, 0.9248524904251099, 2.1191522137087304e-07, 1.8171910198816477e-08, 2.425138090345058e-09, 9.506436748907277e-10, 6.515821127095478e-08]"
online online public relations home page online resource public relations professionals business,2,"[1.0759942936644507e-09, 1.732084520256194e-08, 0.9982295632362366, 0.0017704826314002275, 3.658336134026996e-11, 2.4089086281264827e-10, 6.009796549300006e-10, 1.9640128065545603e-11]"
prstudies typepad studies privatising public realm witnessing deconstruction mass media masses media public relations business,2,"[1.9093292280558671e-07, 0.02108912356197834, 0.9789103865623474, 2.1767182545318065e-07, 4.86655382658796e-10, 9.572697079462955e-10, 4.5263067599554674e-11, 4.166448874798334e-08]"
topix business public relations public relation news topix public relations news continually updated learn how-to target campaigns profitable markets worth business,2,"[1.818843173850837e-07, 5.034351246990809e-08, 0.9999996423721313, 4.2738149824694815e-11, 1.3092736617092982e-10, 3.567582140817649e-08, 7.265024085795213e-12, 9.888411704045419e-13]"
prmuseum museum public relations public relations pioneers historical biographies studeies bernays byoir kendrix page business,2,"[6.593250418518437e-06, 0.0007930730353109539, 0.9991718530654907, 1.3968096368444094e-07, 2.2597015458813985e-07, 3.377323087860873e-09, 2.8279533580644056e-05, 1.8061679929459729e-10]"
com directory businesses jobs press releases products comprehensive directory businesses jobs products services press releases news articles industries promote business business,2,"[8.299868431427271e-11, 2.4774104989688794e-10, 1.0, 6.529544266387077e-11, 3.015895259222967e-12, 1.2274753696112084e-12, 7.148808149994631e-15, 3.488971908420773e-15]"
ssdesign librarypr library media informative -minute video presentation jessica padilla marketing coordinator carlsbad calif city library business,2,"[0.0071840109303593636, 7.664778422622476e-06, 0.9808587431907654, 0.011666418053209782, 3.7296447317203274e-06, 0.00025506524252705276, 2.3670614609727636e-05, 7.663414862690843e-07]"
ogilvypr ogilvy public relations specializes public relations marketing healthcare technology industries public affairs business,4,"[5.139565018907888e-06, 8.159456221790151e-09, 0.0006394193624146283, 1.7524016016068344e-08, 0.9993554949760437, 1.1923115272871598e-11, 9.02662250501507e-11, 3.748697045054955e-13]"
insidepr email insideprcomments gmail com call comment line visit blubrry comment business,3,"[6.948755792990369e-09, 4.17101000493858e-05, 0.08093518018722534, 0.9190170168876648, 5.567140760831535e-06, 2.9245423860402298e-08, 3.0870197065269167e-07, 2.0032562986216362e-07]"
wikipedia wiki revenue revenue wikipedia encyclopedia revenue business money company activities period sales products business,2,"[1.1719741496718505e-11, 2.9316796212874863e-10, 1.0, 4.784259099999133e-10, 1.2994301273015763e-13, 3.173780682708127e-13, 6.628007170883521e-11, 1.9228531527443193e-12]"
investopedia terms revenue revenue investopedia com investing education comprehensive investing dictionary web articles tutorials business,2,"[9.802862514785016e-12, 5.760503185570087e-10, 1.0, 3.4916303182086494e-10, 1.5114361043115643e-13, 3.1133787214976394e-10, 3.335051124153665e-09, 1.1278925384806959e-13]"
hmrc gov revenue customs home page information customs tax department prototype on-line vat value tax system business,2,"[5.241467815331191e-10, 2.1408187222959896e-08, 1.0, 3.1459188587490416e-09, 4.50335380097755e-10, 5.398530927847034e-11, 3.3028010881785974e-11, 7.93423215583039e-14]"
irrv irrv home page institute revenues rating valuation international property tax institute ipti institute revenues rating valuation irrv co-operation enterprise centre business,2,"[2.458221626255863e-09, 9.94665860787336e-09, 1.0, 3.506847590095674e-10, 7.877166800784874e-12, 1.4714883825317493e-11, 1.452477443875111e-10, 8.040936623140982e-14]"
arstechnica news ars post amd second quarter revenues profits down amd quarter revenues profits quarter amd share revenues billion harsh reversal business,2,"[0.001007815357297659, 0.000523046706803143, 0.9977668523788452, 6.0109596233814955e-06, 2.129036874976009e-05, 9.38284472340456e-07, 7.838542614990729e-08, 0.0006739342352375388]"
eia doe gov emeu cabs opecrev opec revenues sheet business,2,"[2.2226337090258674e-11, 5.363481186959618e-11, 1.0, 1.1147390649446365e-10, 3.5561917993698344e-11, 2.1096781277225168e-13, 1.5176115919501854e-10, 3.6830968505076334e-13]"
valleywag tech mythbusting facebooks fake revenues mythbusting facebook fake revenues valleywag people facebook revenues sales revenue guarantee microsoft business,2,"[2.9686741527257254e-06, 0.011019019410014153, 0.8046367168426514, 0.18433474004268646, 5.25212584534529e-08, 1.583333528287767e-06, 1.787084591420296e-09, 4.984331098967232e-06]"
searchengineland microsoft reports revenues microsoft earnings release microsoft corp announced revenue billion quarter business,2,"[9.291625246987678e-10, 2.822486244724587e-09, 0.9999983310699463, 1.6801703850433114e-06, 1.7897226756158346e-10, 1.1877077099597955e-09, 1.0692112972776613e-08, 1.6582850370649993e-10]"
iab news iab press release internet advertising revenues york interactive advertising bureau iab pricewaterhousecoopers pwc announced internet advertising revenues business,2,"[2.3926194359091824e-08, 1.8654170617082855e-06, 0.9999430179595947, 5.4852371249580756e-05, 5.894277288476246e-10, 2.387166659900686e-07, 9.022381952661362e-09, 2.2411382971654348e-08]"
blog seattlepi nwsource microsoft archives microsoft quarterly profit revenues osb operating loss driven cost revenue grew headcount-related costs business,2,"[1.32569994093501e-07, 3.223923670248041e-07, 0.999998927116394, 4.1981536469393177e-07, 8.243580396083416e-08, 7.688053926813154e-08, 8.524773109641615e-10, 1.2296773842235265e-11]"
sportsvenues revenues sports venues stadium arena guide revenues sports venues pricing information stadium arena luxury seats club seats rights sales business,5,"[1.502538361819461e-05, 9.738249900692608e-06, 2.8374702196742874e-06, 5.932548896581125e-10, 2.3553933803377447e-10, 0.9999719858169556, 9.472146374547852e-13, 3.9660676520725247e-07]"
arstechnica news ars post intels revenues but margins down price war takes toll intel revenues margins price war toll intel revenues percent versus net income whopping percent headlines earnings business,2,"[6.845951247669291e-06, 0.000570598291233182, 0.9959277510643005, 0.0033374514896422625, 2.057649680864415e-06, 2.7294194637761393e-07, 2.3770461154981604e-07, 0.00015472315135411918]"
investor google releases google investor relations google reported revenues billion quarter quarter revenues business,2,"[1.0228818680957374e-08, 2.2022756240858143e-07, 0.9999954700469971, 3.1768513508723117e-06, 3.219977340318536e-10, 2.33592118092929e-07, 2.1955264273287867e-08, 9.333816706202924e-07]"
theregister mobile services report non-sms revenues mobile operators reported revenue services sms quarter period business,2,"[3.458303297065868e-07, 8.543452167941723e-06, 0.9998568296432495, 9.602333011571318e-05, 2.4300667064380832e-05, 1.3834196579409763e-05, 5.105696310181429e-09, 3.4684745742197265e-08]"
census gov govs qtax quarterly summary government tax revenues census bureau data quarterly summary tax revenue quarterly estimates tax revenue tax business,2,"[3.783927837730516e-09, 1.3914102510170778e-06, 0.9999985694885254, 3.0521138394412617e-10, 2.0687688007114957e-08, 2.342604155103345e-08, 8.362633252545493e-09, 1.611190902917059e-10]"
https edu policies fiscal rev gift revenues title gift revenues category fiscal revenues responsible gift revenues arise item value university donor cash gift revenues classified business,2,"[0.00047797258594073355, 5.45100738236215e-06, 0.9994230270385742, 2.3258237558110295e-09, 1.8704398030422453e-08, 8.216454006060303e-08, 9.355656220577657e-05, 3.28305715946442e-11]"
seattlepi nwsource business msftearns microsoft annual revenues percent microsoft corp surpassed billion annual revenue matched quarterly profit estimates wall street business,2,"[1.191298792946327e-06, 1.3500522300091689e-06, 0.9999697208404541, 1.0390093848400284e-05, 8.257868557848269e-07, 1.648785109864548e-05, 1.0978097542135856e-08, 2.2293660251193614e-09]"
cbc money story cprearns ref canadian pacific railway revenues shipments sulphur fertilizer coal helped canadian pacific railway ltd post second-quarter revenues company profits business,2,"[1.250474042535643e-06, 7.013236427155789e-06, 0.9999836683273315, 2.0765636432606982e-10, 8.459054612330874e-08, 2.756919911917066e-06, 1.614727267451599e-07, 5.164228696230566e-06]"
gizmodo gadgets revenues revenues gizmodo motorola revenues quarters row termination fees zander motorola revenues business,2,"[2.493844020179381e-09, 5.638337825075723e-06, 0.9730342626571655, 0.026959016919136047, 6.241693881747779e-07, 5.316036943980862e-09, 5.085164644924589e-08, 4.6914445306356356e-07]"
gizmodo gadgets business motorolas revenues down quarters row may see early termination fees for zander business motorola revenues quarters row motorola revenues reporting quarter loss phone business,3,"[9.028120189213951e-07, 1.2935385711898562e-05, 0.04721475765109062, 0.9457430243492126, 0.007018003612756729, 7.758860192552675e-06, 9.631137345422758e-07, 1.522557795397006e-06]"
accounting welcome accounting com accounting resource accounting com source job searches employment career jobs recruiting job listings business,2,"[1.0598810717965534e-08, 1.6095485833034218e-08, 1.0, 1.0134194816657782e-08, 7.364336224169321e-11, 1.7867524126913281e-09, 2.146439248562615e-09, 3.286967323757467e-13]"
wikipedia wiki accounting accountancy wikipedia encyclopedia financial accounting branch accounting historically accounting accountancy accurate financial reports business,2,"[4.0467811324162994e-09, 7.446929184418138e-10, 1.0, 5.303589123428765e-09, 2.0325374716634315e-09, 2.343532702966944e-12, 1.5387617846585044e-09, 1.7827294545094685e-12]"
careers accounting careers accounting jobs-in- accounting com information key careers accounting business,2,"[1.1792411665212388e-11, 4.0263908873683363e-10, 0.9999997615814209, 2.146911697309406e-07, 2.629939321874275e-11, 7.947385805007201e-12, 2.392228082293002e-10, 2.0595523103259482e-14]"
bls gov oco ocos accountants auditors public accountants accounting auditing tax consulting accountants auditors employed public accounting firms business,2,"[1.8585744922250402e-12, 1.5103779338332401e-10, 1.0, 3.505491253177895e-13, 3.1197996117927895e-13, 2.3038184434573698e-15, 1.0845119832562922e-13, 7.089292503267079e-19]"
accounting careerbuilder accounting jobs careerbuilder com accounting jobs job search careerbuilder leader job search sites access jobs business,2,"[2.71801105927727e-11, 1.8553999225900952e-08, 0.9999994039535522, 5.788683097307512e-07, 1.862714843481328e-12, 3.944176374393038e-10, 8.550065655477113e-10, 1.2874844419752396e-12]"
nysscpa prof library guide accounting terminology guide indexed glossary accounting york society cpa business,2,"[6.834471140068632e-13, 2.303258916924733e-09, 1.0, 1.4548015014881344e-09, 5.753470182917608e-12, 4.961104769184155e-13, 5.467131192204988e-10, 3.500091248732559e-14]"
ipl div subject browse bus internet public library accounting website features full-text articles accounting accounting technology practical accountant newswire business,2,"[9.8176544671702e-10, 2.497964146641607e-07, 0.9771182537078857, 0.02281418815255165, 6.297339609773189e-07, 6.00683233642485e-05, 1.8223449416154835e-08, 6.7248597588331904e-06]"
fasb fasb financial accounting standards board designated sector organization establishes financial accounting reporting standards fasb standards business,2,"[1.9392966399411904e-10, 4.556622634765972e-09, 0.9999998807907104, 2.3086629830082472e-10, 1.2361809353933495e-07, 2.319881483095476e-12, 5.025924121326852e-10, 1.996877923220747e-16]"
accounting rutgers edu rutgers accounting web accounting resources irrespective university business,2,"[1.351651008008048e-05, 4.032810829812661e-05, 0.9998891353607178, 1.8366034055361524e-05, 2.766391560271586e-07, 1.8985437009177986e-06, 3.6528177588479593e-05, 9.076155937925989e-10]"
quickmba accounting accounting accounting tutorials students professionals business,2,"[4.332920133798268e-11, 4.677452314361119e-10, 0.9999997615814209, 1.800314350930421e-07, 1.5309046348319089e-12, 7.634249898913481e-10, 1.1094984486703652e-08, 1.3862573740829054e-13]"
topix business accounting accounting news topix accounting news continually updated net business,2,"[1.8627072106980336e-10, 9.900275738106146e-11, 1.0, 4.130520281364625e-08, 5.048252371686601e-10, 5.209325193433756e-10, 2.5400237468886644e-10, 2.5178782805468716e-14]"
lib lsu edu bus account lsu libraries business subject guides accounting behavior organizations section aaa access links cpa societies tax accounting associations boards business,2,"[6.990191758760034e-10, 1.5264663488778751e-07, 0.9999997615814209, 8.107237547960722e-09, 6.182371947716092e-09, 1.9678065399375555e-08, 5.992999846382574e-11, 1.6248644096883424e-10]"
gao gov web government accountability office investigative arm congress charged examining matters receipt payment public funds business,2,"[1.5150928334151104e-07, 0.006765654310584068, 0.9932333827018738, 3.0943931506044464e-07, 3.1216293905345083e-07, 6.9120447143689034e-09, 8.895955261323252e-08, 9.919277205172605e-11]"
finance pro smartpros accounting articles cpe career resources smartpros professional resources accounting finance insurance law business,2,"[3.13459119771764e-10, 9.454462213120962e-11, 1.0, 2.018846201323754e-11, 9.705718451158418e-10, 2.326244448805359e-12, 8.980239468714402e-11, 2.6126593615204965e-16]"
taxsites tax accounting sites directory comprehensive index web-based tax accounting resources business,2,"[9.071492688972338e-12, 1.6443546524413932e-09, 1.0, 1.9125094397054454e-08, 8.112776401190958e-13, 2.620190306043546e-12, 4.8092148319245354e-11, 4.292798484305943e-13]"
business directory accounting accounting resources services business com accounting resources accounting information business information profit loss statements capital budgeting business,2,"[1.828229984123051e-14, 9.756416161077475e-12, 1.0, 5.228771842585855e-12, 1.6146272144822171e-13, 3.4696205937078013e-15, 1.4462758290308933e-15, 7.918673623044651e-18]"
libraries rutgers edu rul gateway research guides busi account shtml rutgers university libraries subject research guides business fasb financial accounting standards board sets authoritative standards accounting research manager rutgers-restricted access cch business,2,"[9.117618446907727e-07, 0.00013417299487628043, 0.9997324347496033, 5.180454536457546e-06, 0.0001170219766208902, 3.993345742969723e-08, 1.0121329978574067e-05, 1.7483224590275626e-10]"
